Country,Year,Attack Type,Target Industry,Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Unified_Attack_Category,Unified_Industry,Continent,Nation_Wealth,West_or_East,Pandemic_Era,Is_Leap_Year
Australia,2024,Ransomware,Education,500747,Insider,Unpatched Software,AI-based Detection,58,Malware,Education,Oceania,High Income,Western,Post-Pandemic,True
Japan,2020,Man-in-the-Middle,IT,854904,Insider,Weak Passwords,Firewall,12,Hacking/Intrusion,Technology,Asia,High Income,Eastern,Post-Pandemic,True
China,2020,SQL Injection,Healthcare,55719,Unknown,Unpatched Software,Firewall,71,Hacking/Intrusion,Healthcare,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
Brazil,2015,Phishing,Retail,355008,Hacker Group,Unpatched Software,Antivirus,31,Social Engineering,Retail,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
UK,2019,Phishing,IT,428615,Unknown,Social Engineering,AI-based Detection,66,Social Engineering,Technology,Europe,High Income,Western,Pre-Pandemic,False
Australia,2015,Phishing,Healthcare,108767,Nation-state,Unpatched Software,VPN,48,Social Engineering,Healthcare,Oceania,High Income,Western,Pre-Pandemic,False
India,2020,Man-in-the-Middle,IT,939469,Insider,Unpatched Software,Encryption,45,Hacking/Intrusion,Technology,Asia,Lower-Middle Income,Eastern,Post-Pandemic,True
UK,2019,Man-in-the-Middle,Government,325827,Nation-state,Zero-day,Antivirus,39,Hacking/Intrusion,Government,Europe,High Income,Western,Pre-Pandemic,False
UK,2017,Man-in-the-Middle,Education,996762,Hacker Group,Social Engineering,AI-based Detection,27,Hacking/Intrusion,Education,Europe,High Income,Western,Pre-Pandemic,False
Japan,2017,Phishing,IT,319868,Hacker Group,Unpatched Software,VPN,52,Social Engineering,Technology,Asia,High Income,Eastern,Pre-Pandemic,False
Brazil,2018,Man-in-the-Middle,Banking,66191,Hacker Group,Weak Passwords,AI-based Detection,71,Hacking/Intrusion,Finance,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
India,2023,Ransomware,IT,925373,Insider,Zero-day,AI-based Detection,4,Malware,Technology,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
India,2015,Malware,Telecommunications,913114,Insider,Unpatched Software,VPN,15,Malware,Telecommunications,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
Australia,2019,DDoS,Healthcare,163975,Nation-state,Unpatched Software,Firewall,22,Hacking/Intrusion,Healthcare,Oceania,High Income,Western,Pre-Pandemic,False
USA,2016,DDoS,Education,876135,Insider,Unpatched Software,AI-based Detection,67,Hacking/Intrusion,Education,North America,High Income,Western,Pre-Pandemic,True
China,2024,Ransomware,Government,595380,Hacker Group,Zero-day,VPN,10,Malware,Government,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
France,2020,DDoS,Government,840796,Nation-state,Weak Passwords,AI-based Detection,5,Hacking/Intrusion,Government,Europe,High Income,Western,Post-Pandemic,True
UK,2022,DDoS,Telecommunications,484908,Unknown,Weak Passwords,Firewall,42,Hacking/Intrusion,Telecommunications,Europe,High Income,Western,Post-Pandemic,False
Russia,2018,SQL Injection,Telecommunications,146100,Unknown,Social Engineering,Encryption,22,Hacking/Intrusion,Telecommunications,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
USA,2021,Phishing,IT,555756,Insider,Zero-day,AI-based Detection,21,Social Engineering,Technology,North America,High Income,Western,Post-Pandemic,False
India,2017,Ransomware,Retail,340928,Unknown,Social Engineering,Antivirus,61,Malware,Retail,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
UK,2016,Malware,Telecommunications,678640,Insider,Zero-day,Encryption,44,Malware,Telecommunications,Europe,High Income,Western,Pre-Pandemic,True
Brazil,2020,Phishing,IT,212798,Insider,Social Engineering,Antivirus,31,Social Engineering,Technology,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
UK,2019,Ransomware,Retail,354024,Unknown,Weak Passwords,AI-based Detection,33,Malware,Retail,Europe,High Income,Western,Pre-Pandemic,False
UK,2016,Man-in-the-Middle,Government,189354,Insider,Zero-day,Firewall,39,Hacking/Intrusion,Government,Europe,High Income,Western,Pre-Pandemic,True
Australia,2022,Phishing,Education,648363,Unknown,Zero-day,VPN,47,Social Engineering,Education,Oceania,High Income,Western,Post-Pandemic,False
Brazil,2017,DDoS,IT,231114,Insider,Weak Passwords,AI-based Detection,37,Hacking/Intrusion,Technology,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
India,2017,Ransomware,Banking,489620,Unknown,Unpatched Software,VPN,43,Malware,Finance,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
USA,2015,DDoS,IT,854005,Unknown,Zero-day,AI-based Detection,14,Hacking/Intrusion,Technology,North America,High Income,Western,Pre-Pandemic,False
Germany,2017,Ransomware,IT,550719,Hacker Group,Zero-day,AI-based Detection,60,Malware,Technology,Europe,High Income,Western,Pre-Pandemic,False
Germany,2019,Man-in-the-Middle,Government,445254,Hacker Group,Unpatched Software,VPN,42,Hacking/Intrusion,Government,Europe,High Income,Western,Pre-Pandemic,False
Japan,2020,Phishing,Education,218097,Unknown,Zero-day,VPN,32,Social Engineering,Education,Asia,High Income,Eastern,Post-Pandemic,True
Germany,2017,Malware,Telecommunications,324790,Insider,Zero-day,VPN,42,Malware,Telecommunications,Europe,High Income,Western,Pre-Pandemic,False
India,2023,SQL Injection,Government,497965,Unknown,Unpatched Software,VPN,25,Hacking/Intrusion,Government,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
Australia,2023,SQL Injection,Education,933030,Insider,Social Engineering,Antivirus,27,Hacking/Intrusion,Education,Oceania,High Income,Western,Post-Pandemic,False
UK,2015,Man-in-the-Middle,IT,538338,Nation-state,Zero-day,VPN,1,Hacking/Intrusion,Technology,Europe,High Income,Western,Pre-Pandemic,False
France,2018,Phishing,Retail,860459,Hacker Group,Social Engineering,AI-based Detection,11,Social Engineering,Retail,Europe,High Income,Western,Pre-Pandemic,False
UK,2024,DDoS,Healthcare,276634,Unknown,Unpatched Software,Antivirus,38,Hacking/Intrusion,Healthcare,Europe,High Income,Western,Post-Pandemic,True
Germany,2018,Man-in-the-Middle,Banking,316299,Insider,Social Engineering,Firewall,66,Hacking/Intrusion,Finance,Europe,High Income,Western,Pre-Pandemic,False
Japan,2023,Ransomware,Healthcare,410385,Unknown,Zero-day,Encryption,71,Malware,Healthcare,Asia,High Income,Eastern,Post-Pandemic,False
Japan,2024,DDoS,Healthcare,589898,Unknown,Weak Passwords,VPN,59,Hacking/Intrusion,Healthcare,Asia,High Income,Eastern,Post-Pandemic,True
France,2016,Man-in-the-Middle,Retail,63760,Hacker Group,Weak Passwords,VPN,8,Hacking/Intrusion,Retail,Europe,High Income,Western,Pre-Pandemic,True
USA,2015,Ransomware,Banking,58037,Insider,Social Engineering,VPN,13,Malware,Finance,North America,High Income,Western,Pre-Pandemic,False
UK,2017,SQL Injection,Government,994787,Nation-state,Unpatched Software,Encryption,56,Hacking/Intrusion,Government,Europe,High Income,Western,Pre-Pandemic,False
India,2016,Ransomware,Retail,89719,Unknown,Zero-day,Firewall,68,Malware,Retail,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,True
Germany,2023,SQL Injection,Telecommunications,590760,Unknown,Unpatched Software,Firewall,32,Hacking/Intrusion,Telecommunications,Europe,High Income,Western,Post-Pandemic,False
UK,2022,DDoS,IT,186700,Insider,Weak Passwords,Antivirus,37,Hacking/Intrusion,Technology,Europe,High Income,Western,Post-Pandemic,False
Japan,2019,SQL Injection,Education,682430,Hacker Group,Zero-day,VPN,5,Hacking/Intrusion,Education,Asia,High Income,Eastern,Pre-Pandemic,False
Australia,2018,SQL Injection,Education,60868,Insider,Social Engineering,Antivirus,46,Hacking/Intrusion,Education,Oceania,High Income,Western,Pre-Pandemic,False
France,2016,SQL Injection,Government,182916,Nation-state,Unpatched Software,Antivirus,17,Hacking/Intrusion,Government,Europe,High Income,Western,Pre-Pandemic,True
France,2023,DDoS,Education,181879,Insider,Weak Passwords,Antivirus,64,Hacking/Intrusion,Education,Europe,High Income,Western,Post-Pandemic,False
Australia,2017,Phishing,Retail,715732,Unknown,Weak Passwords,Antivirus,11,Social Engineering,Retail,Oceania,High Income,Western,Pre-Pandemic,False
UK,2023,Malware,Banking,452477,Hacker Group,Zero-day,Encryption,23,Malware,Finance,Europe,High Income,Western,Post-Pandemic,False
India,2018,Ransomware,Banking,168881,Insider,Social Engineering,AI-based Detection,5,Malware,Finance,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
France,2017,SQL Injection,Healthcare,94235,Insider,Social Engineering,Antivirus,29,Hacking/Intrusion,Healthcare,Europe,High Income,Western,Pre-Pandemic,False
Australia,2015,Ransomware,Telecommunications,75314,Unknown,Unpatched Software,Encryption,6,Malware,Telecommunications,Oceania,High Income,Western,Pre-Pandemic,False
Russia,2019,Man-in-the-Middle,Retail,515797,Nation-state,Social Engineering,Firewall,46,Hacking/Intrusion,Retail,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
Russia,2024,DDoS,Telecommunications,363906,Insider,Weak Passwords,Antivirus,31,Hacking/Intrusion,Telecommunications,Europe,Upper-Middle Income,Eastern,Post-Pandemic,True
UK,2022,DDoS,Education,446296,Unknown,Zero-day,AI-based Detection,4,Hacking/Intrusion,Education,Europe,High Income,Western,Post-Pandemic,False
Russia,2017,Ransomware,Telecommunications,329972,Nation-state,Unpatched Software,Firewall,48,Malware,Telecommunications,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
China,2017,Ransomware,Education,639190,Insider,Social Engineering,Encryption,33,Malware,Education,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
USA,2022,Ransomware,Government,135105,Unknown,Unpatched Software,VPN,48,Malware,Government,North America,High Income,Western,Post-Pandemic,False
China,2015,DDoS,Education,103079,Nation-state,Social Engineering,Antivirus,57,Hacking/Intrusion,Education,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
France,2018,DDoS,IT,822364,Unknown,Zero-day,VPN,71,Hacking/Intrusion,Technology,Europe,High Income,Western,Pre-Pandemic,False
India,2021,SQL Injection,Government,597509,Nation-state,Social Engineering,Firewall,20,Hacking/Intrusion,Government,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
Brazil,2023,Man-in-the-Middle,Telecommunications,705678,Hacker Group,Zero-day,Antivirus,57,Hacking/Intrusion,Telecommunications,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
France,2020,Phishing,Retail,309967,Unknown,Zero-day,Firewall,26,Social Engineering,Retail,Europe,High Income,Western,Post-Pandemic,True
France,2022,Ransomware,Banking,604250,Unknown,Social Engineering,AI-based Detection,63,Malware,Finance,Europe,High Income,Western,Post-Pandemic,False
India,2024,Ransomware,IT,131900,Unknown,Unpatched Software,Antivirus,21,Malware,Technology,Asia,Lower-Middle Income,Eastern,Post-Pandemic,True
Australia,2022,Ransomware,Government,305494,Insider,Social Engineering,Firewall,19,Malware,Government,Oceania,High Income,Western,Post-Pandemic,False
Brazil,2023,Malware,Healthcare,907121,Unknown,Social Engineering,VPN,33,Malware,Healthcare,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
India,2024,Phishing,Banking,879162,Unknown,Zero-day,VPN,38,Social Engineering,Finance,Asia,Lower-Middle Income,Eastern,Post-Pandemic,True
Brazil,2017,Man-in-the-Middle,Telecommunications,57237,Unknown,Unpatched Software,Firewall,52,Hacking/Intrusion,Telecommunications,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
Australia,2016,Phishing,Telecommunications,880127,Insider,Social Engineering,Antivirus,67,Social Engineering,Telecommunications,Oceania,High Income,Western,Pre-Pandemic,True
China,2017,Phishing,IT,698847,Insider,Zero-day,AI-based Detection,17,Social Engineering,Technology,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
India,2022,Man-in-the-Middle,Banking,928859,Unknown,Unpatched Software,Firewall,32,Hacking/Intrusion,Finance,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
India,2017,SQL Injection,IT,858565,Unknown,Weak Passwords,Encryption,29,Hacking/Intrusion,Technology,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
China,2022,Malware,Telecommunications,571265,Unknown,Unpatched Software,Firewall,17,Malware,Telecommunications,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
Russia,2015,DDoS,Banking,259321,Nation-state,Social Engineering,AI-based Detection,62,Hacking/Intrusion,Finance,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
Brazil,2022,Man-in-the-Middle,Banking,121504,Insider,Weak Passwords,AI-based Detection,32,Hacking/Intrusion,Finance,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
France,2018,DDoS,Banking,670630,Nation-state,Zero-day,Antivirus,4,Hacking/Intrusion,Finance,Europe,High Income,Western,Pre-Pandemic,False
China,2024,Ransomware,Banking,277175,Insider,Social Engineering,Firewall,72,Malware,Finance,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
USA,2016,Man-in-the-Middle,Retail,952463,Nation-state,Unpatched Software,Antivirus,26,Hacking/Intrusion,Retail,North America,High Income,Western,Pre-Pandemic,True
UK,2020,DDoS,Government,624619,Unknown,Weak Passwords,AI-based Detection,67,Hacking/Intrusion,Government,Europe,High Income,Western,Post-Pandemic,True
China,2018,Phishing,Healthcare,363934,Insider,Weak Passwords,Firewall,24,Social Engineering,Healthcare,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
Japan,2017,SQL Injection,IT,44750,Unknown,Unpatched Software,Firewall,22,Hacking/Intrusion,Technology,Asia,High Income,Eastern,Pre-Pandemic,False
UK,2021,DDoS,Banking,736601,Nation-state,Zero-day,AI-based Detection,26,Hacking/Intrusion,Finance,Europe,High Income,Western,Post-Pandemic,False
Japan,2018,Ransomware,Education,42876,Unknown,Unpatched Software,Antivirus,40,Malware,Education,Asia,High Income,Eastern,Pre-Pandemic,False
Australia,2018,DDoS,Healthcare,536357,Nation-state,Weak Passwords,Encryption,55,Hacking/Intrusion,Healthcare,Oceania,High Income,Western,Pre-Pandemic,False
USA,2017,Phishing,Government,785099,Insider,Social Engineering,Encryption,29,Social Engineering,Government,North America,High Income,Western,Pre-Pandemic,False
France,2019,DDoS,Healthcare,460544,Unknown,Weak Passwords,Firewall,29,Hacking/Intrusion,Healthcare,Europe,High Income,Western,Pre-Pandemic,False
France,2020,Ransomware,Education,881755,Unknown,Zero-day,Firewall,10,Malware,Education,Europe,High Income,Western,Post-Pandemic,True
India,2024,SQL Injection,Telecommunications,213393,Unknown,Social Engineering,Encryption,49,Hacking/Intrusion,Telecommunications,Asia,Lower-Middle Income,Eastern,Post-Pandemic,True
UK,2017,Man-in-the-Middle,Telecommunications,213979,Hacker Group,Unpatched Software,Firewall,10,Hacking/Intrusion,Telecommunications,Europe,High Income,Western,Pre-Pandemic,False
UK,2021,Malware,Telecommunications,570243,Insider,Unpatched Software,Antivirus,51,Malware,Telecommunications,Europe,High Income,Western,Post-Pandemic,False
Brazil,2016,Malware,Government,47624,Nation-state,Weak Passwords,Firewall,70,Malware,Government,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,True
China,2024,Man-in-the-Middle,Banking,72940,Nation-state,Zero-day,VPN,26,Hacking/Intrusion,Finance,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
Japan,2020,Malware,Telecommunications,710142,Insider,Zero-day,AI-based Detection,56,Malware,Telecommunications,Asia,High Income,Eastern,Post-Pandemic,True
Japan,2023,Malware,Retail,360524,Hacker Group,Unpatched Software,Firewall,47,Malware,Retail,Asia,High Income,Eastern,Post-Pandemic,False
France,2017,Phishing,IT,309259,Insider,Zero-day,AI-based Detection,3,Social Engineering,Technology,Europe,High Income,Western,Pre-Pandemic,False
UK,2024,Phishing,Government,393201,Nation-state,Social Engineering,Firewall,3,Social Engineering,Government,Europe,High Income,Western,Post-Pandemic,True
Germany,2020,Ransomware,IT,306799,Unknown,Zero-day,Encryption,61,Malware,Technology,Europe,High Income,Western,Post-Pandemic,True
Russia,2022,Malware,Healthcare,30180,Insider,Weak Passwords,AI-based Detection,53,Malware,Healthcare,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
India,2017,Phishing,Retail,113745,Unknown,Unpatched Software,Encryption,2,Social Engineering,Retail,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
Japan,2024,Ransomware,Banking,584428,Nation-state,Weak Passwords,Firewall,34,Malware,Finance,Asia,High Income,Eastern,Post-Pandemic,True
France,2020,Ransomware,Healthcare,178268,Nation-state,Unpatched Software,Antivirus,2,Malware,Healthcare,Europe,High Income,Western,Post-Pandemic,True
China,2022,Phishing,Retail,338578,Unknown,Social Engineering,AI-based Detection,38,Social Engineering,Retail,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
China,2024,DDoS,Healthcare,972407,Hacker Group,Zero-day,Encryption,51,Hacking/Intrusion,Healthcare,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
Brazil,2022,Ransomware,Banking,817169,Insider,Unpatched Software,Firewall,54,Malware,Finance,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Australia,2015,Malware,Healthcare,796100,Hacker Group,Social Engineering,AI-based Detection,20,Malware,Healthcare,Oceania,High Income,Western,Pre-Pandemic,False
UK,2016,Man-in-the-Middle,Banking,530253,Unknown,Weak Passwords,Encryption,28,Hacking/Intrusion,Finance,Europe,High Income,Western,Pre-Pandemic,True
Australia,2024,Man-in-the-Middle,Government,165496,Nation-state,Weak Passwords,Encryption,72,Hacking/Intrusion,Government,Oceania,High Income,Western,Post-Pandemic,True
Russia,2021,Ransomware,Banking,501490,Insider,Social Engineering,Firewall,44,Malware,Finance,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
India,2016,Malware,Banking,392365,Insider,Social Engineering,Antivirus,72,Malware,Finance,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,True
China,2022,Malware,Education,194617,Insider,Social Engineering,Antivirus,31,Malware,Education,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
